"filename", "language", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\Todos.md", "Markdown", 0, 18, 0, 14, 27, 59
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\config\db.js", "JavaScript", 0, 0, 12, 0, 3, 15
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\controllers\invoiceIdController.js", "JavaScript", 0, 0, 28, 2, 6, 36
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\controllers\invoicesController.js", "JavaScript", 0, 0, 147, 22, 39, 208
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\controllers\userController.js", "JavaScript", 0, 0, 77, 13, 22, 112
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\middleware\requireAuth.js", "JavaScript", 0, 0, 17, 1, 5, 23
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\models\invoiceIdModel.js", "JavaScript", 0, 0, 6, 0, 3, 9
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\models\invoiceModel.js", "JavaScript", 0, 0, 115, 0, 6, 121
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\models\userModel.js", "JavaScript", 0, 0, 78, 7, 19, 104
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\routes\invoiceIdRoutes.js", "JavaScript", 0, 0, 8, 0, 5, 13
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\routes\invoiceRoutes.js", "JavaScript", 0, 0, 14, 0, 8, 22
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\routes\userRoutes.js", "JavaScript", 0, 0, 19, 3, 10, 32
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\backend\server.js", "JavaScript", 0, 0, 26, 5, 11, 42
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\package-lock.json", "JSON", 5793, 0, 0, 0, 1, 5794
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\package.json", "JSON", 38, 0, 0, 0, 1, 39
"Total", "-", 5831, 18, 547, 67, 166, 6629
